year,pred_new_loss_km2,pred_cumulative_loss_km2,pred_percent_loss_of_baseline
2025,0.38343114754098906,5.781631147540989,0.004275760156958208
2026,0.3401573770491808,6.12178852459017,0.004527320888310101
2027,0.29688360655738677,6.418672131147557,0.004746878840690378
2028,0.2536098360655785,6.672281967213135,0.004934434014099029
2029,0.21033606557377027,6.8826180327869055,0.005089986408536052
2030,0.16706229508197623,7.049680327868882,0.005213536024001459
